timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454737039266731,-0.43763893153647604,-1.1278422926514462,0.0,1.5881326128812458e-23,-4.792761856190555e-18,-1.569039810594584e-10
1778454737059244437,-0.43763893153647604,-1.1278422926514462,0.0,1.5677358585959207e-23,-4.730814544294794e-18,3.9988963599886865e-10
1778454737079262051,-0.43763893153647604,-1.1278422926514462,0.0,1.5476167865847958e-23,-4.669053620956976e-18,3.772565043866328e-11
1778454737099276757,-0.43763893153647604,-1.1278422926514462,0.0,1.5277472571624907e-23,-4.6093669915094325e-18,-6.291518099617202e-11
1778454737119295888,-0.43763893153647604,-1.1278422926514462,0.0,1.5081064061906576e-23,-4.551721919813205e-18,-1.435784805867038e-10
1778454737139276150,-0.43763893153647604,-1.1278422926514462,0.0,1.48875689618819e-23,-4.491408148494859e-18,-3.92310971496267e-10
1778454737159242523,-0.43763893153647604,-1.1278422926514462,0.0,1.469644621003677e-23,-4.4339379407368375e-18,1.0897674113748059e-11
1778454737179243654,-0.43763893153647604,-1.1278422926514462,0.0,1.4507558586173764e-23,-4.3782987341643194e-18,8.50099943442025e-11
1778454737199263471,-0.43763893153647604,-1.1278422926514462,0.0,1.4321304723895e-23,-4.321194651949338e-18,-6.990559990748446e-11
1778454737219248029,-0.43763893153647604,-1.1278422926514462,0.0,1.4137538458984398e-23,-4.2649433707963094e-18,4.191779333689299e-12
1778454737239261235,-0.43763893153647604,-1.1278422926514462,0.0,1.3955986149152482e-23,-4.21087231704018e-18,1.8005150258378847e-10
1778454737259264997,-0.43763893153647604,-1.1278422926514462,0.0,1.3776611360426936e-23,-4.157828520418534e-18,4.4876325074885096e-11
1778454737279276980,-0.43763893153647604,-1.1278422926514462,0.0,1.359970833484392e-23,-4.1037267878184806e-18,-9.367702815626884e-12
1778454737299261390,-0.43763893153647604,-1.1278422926514462,0.0,1.3425047147182954e-23,-4.051031392020068e-18,7.903323308300347e-11
1778454737319265874,-0.43763893153647604,-1.1278422926514462,0.0,5.044357664174542e-21,-4.0010537142344325e-18,9.061128428462651e-08
1778454737339254765,-0.43763893153647604,-1.1278422926514462,0.0,1.679057212250451e-20,-3.9574823113901376e-18,1.834190397654408e-08
1778454737359250434,-0.43763893153647604,-1.1278422926514462,0.0,3.0380438456030333e-20,-3.91405775712494e-18,2.5170825063875885e-07
